ewc_code,hazardous,description
05 06 04,False,Waste from cooling columns
05 06 99,False,Wastes not otherwise specified
05 07 01*,True,Wastes containing mercury
05 07 02,False,Wastes containing sulphur
05 07 99,False,Wastes not otherwise specified
06 01 01*,True,Sulphuric acid and sulphurous acid
06 01 02*,True,Hydrochloric acid
06 01 03*,True,Hydrofluoric acid
06 01 04*,True,Phosphoric and phosphorous acid
06 01 05*,True,Nitric acid and nitrous acid
06 01 06*,True,Other acids
06 01 99,False,Wastes not otherwise specified
06 02 01*,True,Calcium hydroxide
06 02 03*,True,Ammonium hydroxide
06 02 04*,True,Sodium and potassium hydroxide
06 02 05*,True,Other bases
06 02 99,False,Wastes not otherwise specified
06 03 11*,True,Solid salts and solutions containing cyanides
06 03 13*,True,Solid salts and solutions containing heavy metals
06 03 14,False,Solid salts and solutions other than those mentioned in 06 03 11 and 06 03 13
06 03 15*,True,Metallic oxides containing heavy metals
06 03 16,False,Metallic oxides other than those mentioned in 06 03 15
06 03 99,False,Wastes not otherwise specified
06 04 03*,True,Wastes containing arsenic
06 04 04*,True,Wastes containing mercury
06 04 05*,True,Wastes containing other heavy metals
06 04 99,False,Wastes not otherwise specified
06 05 02*,True,Sludges from on-site effluent treatment containing hazardous substances
06 05 03,False,Sludges from on-site effluent treatment other than those mentioned in 06 05 02
06 06 02*,True,Wastes containing hazardous sulphides
06 06 03,False,Wastes containing sulphides other than those mentioned in 06 06 02
06 06 99,False,Wastes not otherwise specified
06 07 01*,True,Wastes containing asbestos from electrolysis
06 07 02*,True,Activated carbon from chlorine production
06 07 03*,True,Barium sulphate sludge containing mercury
06 07 04*,True,"Solutions and acids, for example contact acid"
06 07 99,False,Wastes not otherwise specified
06 08 02*,True,Waste containing hazardous chlorosilanes
06 08 99,False,Wastes not otherwise specified
06 09 02,False,Phosphorous slag
06 09 03*,True,Calcium-based reaction wastes containing or contaminated with hazardous substances
06 09 04,False,Calcium-based reaction wastes other than those mentioned in 06 09 03
06 09 99,False,Wastes not otherwise specified
06 10 02*,True,Wastes containing hazardous substances
06 10 99,False,Wastes not otherwise specified
06 11 01,False,Calcium-based reaction wastes from titanium dioxide production
06 11 99,False,Wastes not otherwise specified
06 13 01*,True,"Inorganic plant protection products, wood-preserving agents and other biocides."
06 13 02*,True,Spent activated carbon (except 06 07 02)
06 13 03,False,Carbon black
06 13 04*,True,Wastes from asbestos processing
06 13 05*,True,Soot
06 13 99,False,Wastes not otherwise specified
07 01 01*,True,Aqueous washing liquids and mother liquors
07 01 03*,True,"Organic halogenated solvents, washing liquids and mother liquors"
07 01 04*,True,"Other organic solvents, washing liquids and mother liquors"
07 01 07*,True,Halogenated still bottoms and reaction residues
07 01 08*,True,Other still bottoms and reaction residues
07 01 09*,True,Halogenated filter cakes and spent absorbents
07 01 10*,True,Other filter cakes and spent absorbents
07 01 11*,True,Sludges from on-site effluent treatment containing hazardous substances
07 01 12,False,Sludges from on-site effluent treatment other than those mentioned in 07 01 11
07 01 99,False,Wastes not otherwise specified
07 02 01*,True,Aqueous washing liquids and mother liquors
07 02 03*,True,"Organic halogenated solvents, washing liquids and mother liquors"
07 02 04*,True,"Other organic solvents, washing liquids and mother liquors"
07 02 07*,True,Halogenated still bottoms and reaction residues
07 02 08*,True,Other still bottoms and reaction residues
07 02 09*,True,Halogenated filter cakes and spent absorbents
07 02 10*,True,Other filter cakes and spent absorbents
07 02 11*,True,Sludges from on-site effluent treatment containing hazardous substances
07 02 12,False,Sludges from on-site effluent treatment other than those mentioned in 07 02 11
07 02 13,False,Waste plastic
07 02 14*,True,Wastes from additives containing hazardous substances
07 02 15,False,Wastes from additives other than those mentioned in 07 02 14
07 02 16*,True,Waste containing hazardous silicones
07 02 17,False,Waste containing silicones other than those mentioned in 07 02 16
07 02 99,False,Wastes not otherwise specified
07 03 01*,True,Aqueous washing liquids and mother liquors
07 03 03*,True,"Organic halogenated solvents, washing liquids and mother liquors"
07 03 04*,True,"Other organic solvents, washing liquids and mother liquors"
07 03 07*,True,Halogenated still bottoms and reaction residues
07 03 08*,True,Other still bottoms and reaction residues
07 03 09*,True,Halogenated filter cakes and spent absorbents
07 03 10*,True,Other filter cakes and spent absorbents
07 03 11*,True,Sludges from on-site effluent treatment containing hazardous substances
07 03 12,False,Sludges from on-site effluent treatment other than those mentioned in 07 03 11
07 03 99,False,Wastes not otherwise specified agents (except 03 02) and other biocides
07 04 01*,True,Aqueous washing liquids and mother liquors
07 04 03*,True,"Organic halogenated solvents, washing liquids and mother liquors"
07 04 04*,True,"Other organic solvents, washing liquids and mother liquors"
07 04 07*,True,Halogenated still bottoms and reaction residues
07 04 08*,True,Other still bottoms and reaction residues
07 04 09*,True,Halogenated filter cakes and spent absorbents
